case,engine,metric,median,min,max,qualification
normal,spi,load_ms,134.3448,124.7086,140.9975,
normal,spi,warm_hit_p50_us,4.9,4.7,5.1,
normal,spi,warm_hit_p99_us,15.7,12.5,16.9,
normal,spi,missing_p50_us,0.4,0.4,0.4,
normal,spi,range_p50_us,555.2,539.0,560.7,
normal,spi,reused_16_key_p50_us,3.6,3.5,3.8,
normal,spi,unique_reads_ms,15.8638,14.7449,17.5353,
normal,spi,one_off_scan_ms,16.001,15.3856,16.5231,
normal,spi,updates_ms,89.2718,88.3981,93.8858,
normal,spi,durable_mutation_p50_us,9763.0,9300.6,9993.2,
normal,spi,post_mutation_scan_ms,16.6243,16.0936,16.6661,
normal,spi,post_mutation_range_p50_us,10.2,9.8,10.9,
normal,spi,post_compaction_scan_ms,14.6445,14.5598,16.5335,
normal,spi,cleared_app_cache_p50_us,50.9,47.3,52.4,
normal,spi,reopen_ms,7.4094,6.1836,8.1861,Drop database handle and reopen committed root.
normal,spi,maintenance_ms,49.7692,44.9855,53.3725,"Whole-epoch compaction, collection and explicit integrity verification."
normal,spi,final_owned_file_bytes,352072.0,352072.0,352072.0,"All owned database file lengths, not allocated device bytes."
normal,spi-packed,load_ms,83.2421,81.5513,84.9773,
normal,spi-packed,warm_hit_p50_us,0.4,0.4,0.5,
normal,spi-packed,warm_hit_p99_us,4.1,2.7,10.8,
normal,spi-packed,missing_p50_us,0.3,0.3,0.3,
normal,spi-packed,range_p50_us,26.3,23.9,40.9,
normal,spi-packed,reused_16_key_p50_us,0.4,0.4,0.4,
normal,spi-packed,unique_reads_ms,1.0867,1.0177,1.2876,
normal,spi-packed,one_off_scan_ms,0.4214,0.4209,0.5441,
normal,spi-packed,updates_ms,85.9398,83.8819,90.5912,
normal,spi-packed,durable_mutation_p50_us,9450.3,9431.2,9738.4,
normal,spi-packed,post_mutation_scan_ms,0.7309,0.6797,0.7454,
normal,spi-packed,post_mutation_range_p50_us,25.8,24.1,37.1,
normal,spi-packed,post_compaction_scan_ms,0.5473,0.4408,0.6115,
normal,spi-packed,cleared_app_cache_p50_us,29.4,28.4,31.0,
normal,spi-packed,reopen_ms,8.5938,7.1815,8.7786,Drop database handle and reopen committed root.
normal,spi-packed,maintenance_ms,22.5412,21.9145,25.1641,"Whole-epoch compaction, collection and explicit integrity verification."
normal,spi-packed,final_owned_file_bytes,193600.0,193600.0,193600.0,"All owned database file lengths, not allocated device bytes."
normal,sqlite,load_ms,25.6191,25.0347,31.0916,
normal,sqlite,warm_hit_p50_us,3.0,2.9,3.0,
normal,sqlite,warm_hit_p99_us,8.7,5.6,10.3,
normal,sqlite,missing_p50_us,2.8,2.7,2.9,
normal,sqlite,range_p50_us,24.9,24.9,28.0,
normal,sqlite,reused_16_key_p50_us,2.9,2.8,4.5,
normal,sqlite,unique_reads_ms,6.3517,6.1512,6.4238,
normal,sqlite,one_off_scan_ms,0.5675,0.5326,0.6034,
normal,sqlite,updates_ms,39.5587,39.4409,40.4511,
normal,sqlite,durable_mutation_p50_us,2628.8,2607.7,2658.3,
normal,sqlite,post_mutation_scan_ms,0.6859,0.6553,0.8448,
normal,sqlite,post_mutation_range_p50_us,5.2,5.0,7.0,
normal,sqlite,post_compaction_scan_ms,0.6079,0.5748,0.7765,
